tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
2026-09-25 05:03:39.889195 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:39.909284 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:39.929317 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:39.949154 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:39.969294 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:39.989247 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.009208 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.012000 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:40.029262 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.032244 IP 89.58.15.243.10860 > 10.8.1.17.61321: UDP, length 136
2026-09-25 05:03:40.049272 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.052449 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:40.069206 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.072668 IP 89.58.15.243.10860 > 192.168.0.170.61322: UDP, length 136
2026-09-25 05:03:40.089224 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.092894 IP 89.58.15.243.10860 > 89.125.104.114.61321: UDP, length 136
2026-09-25 05:03:40.109164 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.113085 IP 89.58.15.243.10860 > 89.125.104.114.61321: UDP, length 136
2026-09-25 05:03:40.129108 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.149230 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.169127 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.189159 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.209419 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.229401 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.249210 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.269148 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.289469 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
2026-09-25 05:03:40.309169 IP 185.45.152.18.44710 > 89.58.15.243.11300: UDP, length 172
